,context,answer,T5,GPT-3
186,"Each employee on walking/working surfaces shall be protected from falling through holes (including skylights) more than 6 feet (1.8 m) above lower levels, by personal fall arrest systems, covers, or guardrail systems erected around such holes.","personal fall arrest systems, covers, or guardrail systems",What must be erected around the holes?,What type of systems are used to protect employees from falling through holes more than 6 feet (1.8 m) above lower levels?
187,Each employee on a walking/working surface shall be protected from tripping in or stepping into or through holes (including skylights) by covers.,employee ,Who is protected from tripping in or stepping into or through holes?,What precautions should an employee take to prevent tripping in or stepping into or through holes on a walking/working surface?
188,"""Formwork and reinforcing steel."" Each employee on the face of formwork or reinforcing steel shall be protected from falling 6 feet (1.8 m) or more to lower levels by personal fall arrest systems, safety net systems, or positioning device systems.",employee ,Who is protected from falling 6 feet or more to lower levels?,What type of safety system is required when working with formwork or reinforcing steel?
189,"""Formwork and reinforcing steel."" Each employee on the face of formwork or reinforcing steel shall be protected from falling 6 feet (1.8 m) or more to lower levels by personal fall arrest systems, safety net systems, or positioning device systems.",6 feet (1.8 m) ,How tall is a person on the face of formwork or reinforcing steel?,What is the minimum height of protection required for employees working on formwork or reinforcing steel?
190,"""Formwork and reinforcing steel."" Each employee on the face of formwork or reinforcing steel shall be protected from falling 6 feet (1.8 m) or more to lower levels by personal fall arrest systems, safety net systems, or positioning device systems.","personal fall arrest systems, safety net systems, or positioning device systems",What are the ways that an employee is protected from falling?,What safety systems are required to protect employees who are working on formwork or reinforcing steel from falling 6 feet (1.8 m) or more to lower levels?
191,"""Ramps, runways, and other walkways."" Each employee on ramps, runways, and other walkways shall be protected from falling 6 feet (1.8 m) or more to lower levels by guardrail systems.","ramps, runways, and other walkways ",What shall each employee be protected from falling 6 feet or more to lower levels by guardrail systems?,"What are the requirements for guardrail systems to protect employees on ramps, runways, and other walkways from falling 6 feet (1.8 m) or more to lower levels?"
192,"""Ramps, runways, and other walkways."" Each employee on ramps, runways, and other walkways shall be protected from falling 6 feet (1.8 m) or more to lower levels by guardrail systems.",guardrail systems,"What shall each employee on ramps, runways, and other walkways be protected from falling 6 feet or more?","What type of protection must employees on ramps, runways, and other walkways have from falling 6 feet (1.8 m) or more to lower levels?"
193,"Each employee at the edge of an excavation 6 feet (1.8 m) or more in depth shall be protected from falling by guardrail systems, fences, or barricades when the excavations are not readily seen because of plant growth or other visual barrier",6 feet (1.8 m) ,How deep should an excavation be?,"What is the minimum depth of an excavation to require guardrail systems, fences, or barricades?"
194,"Each employee at the edge of an excavation 6 feet (1.8 m) or more in depth shall be protected from falling by guardrail systems, fences, or barricades when the excavations are not readily seen because of plant growth or other visual barrier","guardrail systems, fences, or barricades",What should be used to protect employees from falling?,What safety measures must be taken for an employee working at the edge of an excavation 6 feet (1.8 m) or more in depth when the excavations are not readily seen because of plant growth or other visual barriers?
195,"Each employee at the edge of an excavation 6 feet (1.8 m) or more in depth shall be protected from falling by guardrail systems, fences, or barricades when the excavations are not readily seen because of plant growth or other visual barrier",plant growth or other visual barrier,What is the reason for the lack of visibility of excavations?,What type of barrier is required to protect employees at the edge of an excavation 6 feet (1.8 m) or more in depth?
196,"Each employee at the edge of a well, pit, shaft, and similar excavation 6 feet (1.8 m) or more in depth shall be protected from falling by guardrail systems, fences, barricades, or covers.",employee ,Who is protected from falling?,"What measures must be taken to protect an employee from falling into a well, pit, shaft, or similar excavation that is 6 feet (1.8 m) or more in depth?"
197,"Each employee at the edge of a well, pit, shaft, and similar excavation 6 feet (1.8 m) or more in depth shall be protected from falling by guardrail systems, fences, barricades, or covers."," guardrail systems, fences, barricades, or covers",What must be used to protect employees from falling?,"What types of protection are required for employees working near a well, pit, shaft, or similar excavation 6 feet (1.8 m) or more in depth?"
198,Each employee less than 6 feet (1.8 m) above dangerous equipment shall be protected from falling into or onto the dangerous equipment by guardrail systems or by equipment guards.,by guardrail systems or by equipment guards,How is each employee protected from falling into or onto dangerous equipment?,What measures must be taken to protect employees less than 6 feet (1.8 m) above dangerous equipment?
199,"Each employee 6 feet (1.8 m) or more above dangerous equipment shall be protected from fall hazards by guardrail systems, personal fall arrest systems, or safety net systems.","guardrail systems, personal fall arrest systems, or safety net systems",What are some ways an employee can be protected from falling hazards?,What types of protection are required for employees who are 6 feet (1.8 m) or more above dangerous equipment to prevent fall hazards?
200,"Except as otherwise provided in paragraph (b) of this section, each employee performing overhand bricklaying and related work 6 feet (1.8 m) or more above lower levels, shall be protected from falling by guardrail systems, safety net systems, personal fall arrest systems, or shall work in a controlled access zone.",6 feet (1.8 m) ,How tall must an employee be to be protected from falling?,What is the minimum height for overhand bricklaying and related work that requires protection from falling?
201,"Except as otherwise provided in paragraph (b) of this section, each employee performing overhand bricklaying and related work 6 feet (1.8 m) or more above lower levels, shall be protected from falling by guardrail systems, safety net systems, personal fall arrest systems, or shall work in a controlled access zone.","guardrail systems, safety net systems, personal fall arrest systems",What are the measures that must be used to protect an employee from falling?,What are the safety measures that must be implemented for an employee performing overhand bricklaying and related work 6 feet (1.8 m) or more above lower levels?
202,"Except as otherwise provided in paragraph (b) of this section, each employee performing overhand bricklaying and related work 6 feet (1.8 m) or more above lower levels, shall be protected from falling by guardrail systems, safety net systems, personal fall arrest systems, or shall work in a controlled access zone.",controlled access zone,In what type of zone must an employee work to prevent falling?,What is the requirement for an employee performing overhand bricklaying and related work 6 feet (1.8 m) or more above lower levels?
203,"Each employee reaching more than 10 inches (25 cm) below the level of the walking/working surface on which they are working, shall be protected from falling by a guardrail system, safety net system, or personal fall arrest system.

Note: Bricklaying operations performed on scaffolds are regulated by subpart L - Scaffolds of this part.",10 inches (25 cm),How much below the level of the walking/working surface must an employee be protected from falling?,What type of protection must be in place for employees working more than 10 inches (25 cm) below the level of the walking/working surface?
204,"Each employee reaching more than 10 inches (25 cm) below the level of the walking/working surface on which they are working, shall be protected from falling by a guardrail system, safety net system, or personal fall arrest system.

Note: Bricklaying operations performed on scaffolds are regulated by subpart L - Scaffolds of this part.","a guardrail system, safety net system, or personal fall arrest system",What must be used to protect an employee from falling?,What safety measures must an employee use if they are working more than 10 inches (25 cm) below the level of the walking/working surface?
205,"""Roofing work on Low-slope roofs."" Except as otherwise provided in paragraph (b) of this section, each employee engaged in roofing activities on low-slope roofs, with unprotected sides and edges 6 feet (1.8 m) or more above lower levels shall be protected from falling by guardrail systems, safety net systems, personal fall arrest systems, or a combination of warning line system and guardrail system, warning line system and safety net system, or warning line system and personal fall arrest system, or warning line system and safety monitoring system. Or, on roofs 50-feet (15.25 m) or less in width (see Appendix A to subpart M of this part), the use of a safety monitoring system alone [i.e. without the warning line system] is permitted.",50-feet (15.25 m) ,What is the minimum width of a roof?,What is the maximum width of a low-slope roof that can be protected with a safety monitoring system alone?
206,"""Roofing work on Low-slope roofs."" Except as otherwise provided in paragraph (b) of this section, each employee engaged in roofing activities on low-slope roofs, with unprotected sides and edges 6 feet (1.8 m) or more above lower levels shall be protected from falling by guardrail systems, safety net systems, personal fall arrest systems, or a combination of warning line system and guardrail system, warning line system and safety net system, or warning line system and personal fall arrest system, or warning line system and safety monitoring system. Or, on roofs 50-feet (15.25 m) or less in width (see Appendix A to subpart M of this part), the use of a safety monitoring system alone [i.e. without the warning line system] is permitted.",a safety monitoring system,What is permitted on roofs 50 feet or less in width?,What type of system is allowed for roofing work on low-slope roofs that are 50 feet or less in width?
207,"""Steep roofs."" Each employee on a steep roof with unprotected sides and edges 6 feet (1.8 m) or more above lower levels shall be protected from falling by guardrail systems with toeboards, safety net systems, or personal fall arrest systems.","guardrail systems with toeboards, safety net systems, or personal fall arrest systems",What must be used to protect employees on steep roofs?,What safety systems are required for employees working on steep roofs with unprotected sides and edges 6 feet (1.8 m) or more above lower levels?
208,"""Precast concrete erection."" Each employee engaged in the erection of precast concrete members (including, but not limited to the erection of wall panels, columns, beams, and floor and roof ""tees"") and related operations such as grouting of precast concrete members, who is 6 feet (1.8 m) or more above lower levels shall be protected from falling by guardrail systems, safety net systems, or personal fall arrest systems, unless another provision in paragraph (b) of this section provides for an alternative fall protection measure. Exception: When the employer can demonstrate that it is infeasible or creates a greater hazard to use these systems, the employer shall develop and implement a fall protection plan which meets the requirements of paragraph (k) of 1926.502.

Note: There is a presumption that it is feasible and will not create a greater hazard to implement at least one of the above-listed fall protection systems. Accordingly, the employer has the burden of establishing that it is appropriate to implement a fall protection plan which complies with 1926.502(k) for a particular workplace situation, in lieu of implementing any of those systems.","guardrail systems, safety net systems, or personal fall arrest systems",What must be used to protect employees from falling?,What fall protection systems must be used to protect employees engaged in precast concrete erection operations 6 feet or more above lower levels?
209,"""Precast concrete erection."" Each employee engaged in the erection of precast concrete members (including, but not limited to the erection of wall panels, columns, beams, and floor and roof ""tees"") and related operations such as grouting of precast concrete members, who is 6 feet (1.8 m) or more above lower levels shall be protected from falling by guardrail systems, safety net systems, or personal fall arrest systems, unless another provision in paragraph (b) of this section provides for an alternative fall protection measure. Exception: When the employer can demonstrate that it is infeasible or creates a greater hazard to use these systems, the employer shall develop and implement a fall protection plan which meets the requirements of paragraph (k) of 1926.502.

Note: There is a presumption that it is feasible and will not create a greater hazard to implement at least one of the above-listed fall protection systems. Accordingly, the employer has the burden of establishing that it is appropriate to implement a fall protection plan which complies with 1926.502(k) for a particular workplace situation, in lieu of implementing any of those systems.",employer ,Who has the burden of establishing that it is appropriate to implement a fall protection plan?,"What is the burden of proof for an employer to demonstrate that it is infeasible or creates a greater hazard to use guardrail systems, safety net systems, or personal fall arrest systems when erecting precast concrete members?"
210,"""Residential construction."" Each employee engaged in residential construction activities 6 feet (1.8 m) or more above lower levels shall be protected by guardrail systems, safety net system, or personal fall arrest system unless another provision in paragraph (b) of this section provides for an alternative fall protection measure. Exception: When the employer can demonstrate that it is infeasible or creates a greater hazard to use these systems, the employer shall develop and implement a fall protection plan which meets the requirements of paragraph (k) of 1926.502.

Note: There is a presumption that it is feasible and will not create a greater hazard to implement at least one of the above-listed fall protection systems. Accordingly, the employer has the burden of establishing that it is appropriate to implement a fall protection plan which complies with 1926.502(k) for a particular workplace situation, in lieu of implementing any of those systems.","guardrail systems, safety net system, or personal fall arrest system",What must be used to protect an employee engaged in residential construction activities?,"What is the burden of proof for an employer to demonstrate it is infeasible or creates a greater hazard to use guardrail systems, safety net system, or personal fall arrest system for residential construction activities?"
211,"""Wall openings."" Each employee working on, at, above, or near wall openings (including those with chutes attached) where the outside bottom edge of the wall opening is 6 feet (1.8 m) or more above lower levels and the inside bottom edge of the wall opening is less than 39 inches (1.0 m) above the walking/working surface, shall be protected from falling by the use of a guardrail system, a safety net system, or a personal fall arrest system.",6 feet (1.8 m) ,What is the outside bottom edge of a wall opening above lower levels?,What is the minimum height requirement for wall openings to require fall protection?
212,"""Wall openings."" Each employee working on, at, above, or near wall openings (including those with chutes attached) where the outside bottom edge of the wall opening is 6 feet (1.8 m) or more above lower levels and the inside bottom edge of the wall opening is less than 39 inches (1.0 m) above the walking/working surface, shall be protected from falling by the use of a guardrail system, a safety net system, or a personal fall arrest system.",39 inches (1.0 m) ,What is the minimum height of the inside bottom edge of a wall opening?,What is the minimum inside bottom edge of the wall opening that requires protection from falling?
213,"""Wall openings."" Each employee working on, at, above, or near wall openings (including those with chutes attached) where the outside bottom edge of the wall opening is 6 feet (1.8 m) or more above lower levels and the inside bottom edge of the wall opening is less than 39 inches (1.0 m) above the walking/working surface, shall be protected from falling by the use of a guardrail system, a safety net system, or a personal fall arrest system.","a guardrail system, a safety net system, or a personal fall arrest system",What must be used to protect an employee working on or near a wall opening?,"What are the safety measures recommended for working on, at, above, or near wall openings with the outside bottom edge of the wall opening 6 feet (1.8 m) or more above lower levels and the inside bottom edge of the wall opening less than 39 inches (1.0 m) above the walking/working surface?"
214,"""Walking/working surfaces not otherwise addressed."" Except as provided in 1926.500(a)(2) or in 1926.501 (b)(1) through (b)(14), each employee on a walking/working surface 6 feet (1.8 m) or more above lower levels shall be protected from falling by a guardrail system, safety net system, or personal fall arrest system.","a guardrail system, safety net system, or personal fall arrest system",What must be used to protect employees from falling?,What protective measures are required for employees on walking/working surfaces 6 feet (1.8 m) or more above lower levels?
215,"1926.501(c)
""Protection from falling objects."" When an employee is exposed to falling objects, the employer shall have each employee wear a hard hat and shall implement one of the following measures:

1926.501(c)(1)
Erect toeboards, screens, or guardrail systems to prevent objects from falling from higher levels; or,

1926.501(c)(2)
Erect a canopy structure and keep potential fall objects far enough from the edge of the higher level so that those objects would not go over the edge if they were accidentally displaced; or,

1926.501(c)(3)
Barricade the area to which objects could fall, prohibit employees from entering the barricaded area, and keep objects that may fall far enough away from the edge of a higher level so that those objects would not go over the edge if they were accidentally displaced.",employer ,Who must have each employee wear a hard hat when exposed to falling objects?,What measures must an employer take to protect employees from falling objects?
216,"1926.501(c)
""Protection from falling objects."" When an employee is exposed to falling objects, the employer shall have each employee wear a hard hat and shall implement one of the following measures:

1926.501(c)(1)
Erect toeboards, screens, or guardrail systems to prevent objects from falling from higher levels; or,

1926.501(c)(2)
Erect a canopy structure and keep potential fall objects far enough from the edge of the higher level so that those objects would not go over the edge if they were accidentally displaced; or,

1926.501(c)(3)
Barricade the area to which objects could fall, prohibit employees from entering the barricaded area, and keep objects that may fall far enough away from the edge of a higher level so that those objects would not go over the edge if they were accidentally displaced.",a hard hat ,What must an employee wear when exposed to falling objects?,"What measures must an employer take to protect employees from falling objects, as required by 1926.501(c)?"
217,"Employers shall provide and install all fall protection systems required by this subpart for an employee, and shall comply with all other pertinent requirements of this subpart before that employee begins the work that necessitates the fall protection.",Employers ,Who must install fall protection systems for an employee?,What are the requirements for employers to provide and install fall protection systems?
218,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",42 inches (1.1 m) plus or minus 3 inches (8 cm) ,What is the top edge height of guardrails?,"What is the top edge height of the top rail, or equivalent guardrail system member, for a guardrail system according to 1926.502(b)(1)?"
219,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",45-inch ,What is the maximum height of the top edge of a guardrail system?,"What is the maximum height of the top edge of the top rail, or equivalent guardrail system member, according to 1926.502(b)(1)?"
220,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",21 inches (53 cm),What is the minimum height of a guardrail system?,"What is the minimum height of a wall or parapet wall that must be present in order for midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members not to be installed between the top edge of the guardrail system and the walking/working surface?"
221,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",19 inches (48 cm) ,What is the maximum distance between balusters?,What is the maximum distance between intermediate members (such as balusters) when they are used between posts?
222,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",19 inches (.5 m) ,What is the width of the openings in the guardrail system?,What is the maximum width of an opening in a guardrail system that is allowed by 1926.502(b)(2)(iv)?
223,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",200 pounds (890 N),What is the minimum force a guardrail system must be able to stand?,What is the minimum force a guardrail system must be capable of withstanding without failure?
224,"1926.502(b)(1)
Top edge height of top rails, or equivalent guardrail system members, shall be 42 inches (1.1 m) plus or minus 3 inches (8 cm) above the walking/working level. When conditions warrant, the height of the top edge may exceed the 45-inch height, provided the guardrail system meets all other criteria of this paragraph.

Note: When employees are using stilts, the top edge height of the top rail, or equivalent member, shall be increased an amount equal to the height of the stilts.

1926.502(b)(2)
Midrails, screens, mesh, intermediate vertical members, or equivalent intermediate structural members shall be installed between the top edge of the guardrail system and the walking/working surface when there is no wall or parapet wall at least 21 inches (53 cm) high.

1926.502(b)(2)(i)
Midrails, when used, shall be installed at a height midway between the top edge of the guardrail system and the walking/working level.

1926.502(b)(2)(ii)
Screens and mesh, when used, shall extend from the top rail to the walking/working level and along the entire opening between top rail supports.

1926.502(b)(2)(iii)
Intermediate members (such as balusters), when used between posts, shall be not more than 19 inches (48 cm) apart.

1926.502(b)(2)(iv)
Other structural members (such as additional midrails and architectural panels) shall be installed such that there are no openings in the guardrail system that are more than 19 inches (.5 m) wide.

1926.502(b)(3)
Guardrail systems shall be capable of withstanding, without failure, a force of at least 200 pounds (890 N) applied within 2 inches (5.1 cm) of the top edge, in any outward or downward direction, at any point along the top edge.",2 inches (5.1 cm),What is the minimum height of a guardrail system?,"What is the minimum force that guardrail systems must be able to withstand, according to 1926.502(b)(3)?"
225,"1926.502(b)(4)
When the 200 pound (890 N) test load specified in paragraph (b)(3) of this section is applied in a downward direction, the top edge of the guardrail shall not deflect to a height less than 39 inches (1.0 m) above the walking/working level. Guardrail system components selected and constructed in accordance with the Appendix B to subpart M of this part will be deemed to meet this requirement.

1926.502(b)(5)
Midrails, screens, mesh, intermediate vertical members, solid panels, and equivalent structural members shall be capable of withstanding, without failure, a force of at least 150 pounds (666 N) applied in any downward or outward direction at any point along the midrail or other member.

1926.502(b)(6)
Guardrail systems shall be so surfaced as to prevent injury to an employee from punctures or lacerations, and to prevent snagging of clothing.

1926.502(b)(7)
The ends of all top rails and midrails shall not overhang the terminal posts, except where such overhang does not constitute a projection hazard.

1926.502(b)(8)
Steel banding and plastic banding shall not be used as top rails or midrails.

1926.502(b)(9)
Top rails and midrails shall be at least one-quarter inch (0.6 cm) nominal diameter or thickness to prevent cuts and lacerations. If wire rope is used for top rails, it shall be flagged at not more than 6-foot intervals with high-visibility material.",39 inches (1.0 m),What is the height of the top edge of the guardrail when applied in a downward direction?,What is the minimum height of the guardrail when the 200 pound (890 N) test load specified in paragraph (b)(3) of this section is applied in a downward direction?
226,"1926.502(b)(4)
When the 200 pound (890 N) test load specified in paragraph (b)(3) of this section is applied in a downward direction, the top edge of the guardrail shall not deflect to a height less than 39 inches (1.0 m) above the walking/working level. Guardrail system components selected and constructed in accordance with the Appendix B to subpart M of this part will be deemed to meet this requirement.

1926.502(b)(5)
Midrails, screens, mesh, intermediate vertical members, solid panels, and equivalent structural members shall be capable of withstanding, without failure, a force of at least 150 pounds (666 N) applied in any downward or outward direction at any point along the midrail or other member.

1926.502(b)(6)
Guardrail systems shall be so surfaced as to prevent injury to an employee from punctures or lacerations, and to prevent snagging of clothing.

1926.502(b)(7)
The ends of all top rails and midrails shall not overhang the terminal posts, except where such overhang does not constitute a projection hazard.

1926.502(b)(8)
Steel banding and plastic banding shall not be used as top rails or midrails.

1926.502(b)(9)
Top rails and midrails shall be at least one-quarter inch (0.6 cm) nominal diameter or thickness to prevent cuts and lacerations. If wire rope is used for top rails, it shall be flagged at not more than 6-foot intervals with high-visibility material.",150 pounds (666 N),What is the minimum force a guardrail must be able to stand?,What is the minimum force that must be applied to a midrail or other member to meet the requirements of 1926.502(b)(5)?
227,"1926.502(b)(4)
When the 200 pound (890 N) test load specified in paragraph (b)(3) of this section is applied in a downward direction, the top edge of the guardrail shall not deflect to a height less than 39 inches (1.0 m) above the walking/working level. Guardrail system components selected and constructed in accordance with the Appendix B to subpart M of this part will be deemed to meet this requirement.

1926.502(b)(5)
Midrails, screens, mesh, intermediate vertical members, solid panels, and equivalent structural members shall be capable of withstanding, without failure, a force of at least 150 pounds (666 N) applied in any downward or outward direction at any point along the midrail or other member.

1926.502(b)(6)
Guardrail systems shall be so surfaced as to prevent injury to an employee from punctures or lacerations, and to prevent snagging of clothing.

1926.502(b)(7)
The ends of all top rails and midrails shall not overhang the terminal posts, except where such overhang does not constitute a projection hazard.

1926.502(b)(8)
Steel banding and plastic banding shall not be used as top rails or midrails.

1926.502(b)(9)
Top rails and midrails shall be at least one-quarter inch (0.6 cm) nominal diameter or thickness to prevent cuts and lacerations. If wire rope is used for top rails, it shall be flagged at not more than 6-foot intervals with high-visibility material.",surfaced,What must guardrail systems be to prevent injury to an employee from punctures or lacerations?,What materials must guardrail systems be surfaced with to prevent injury to an employee from punctures or lacerations and to prevent snagging of clothing?
228,"1926.502(b)(4)
When the 200 pound (890 N) test load specified in paragraph (b)(3) of this section is applied in a downward direction, the top edge of the guardrail shall not deflect to a height less than 39 inches (1.0 m) above the walking/working level. Guardrail system components selected and constructed in accordance with the Appendix B to subpart M of this part will be deemed to meet this requirement.

1926.502(b)(5)
Midrails, screens, mesh, intermediate vertical members, solid panels, and equivalent structural members shall be capable of withstanding, without failure, a force of at least 150 pounds (666 N) applied in any downward or outward direction at any point along the midrail or other member.

1926.502(b)(6)
Guardrail systems shall be so surfaced as to prevent injury to an employee from punctures or lacerations, and to prevent snagging of clothing.

1926.502(b)(7)
The ends of all top rails and midrails shall not overhang the terminal posts, except where such overhang does not constitute a projection hazard.

1926.502(b)(8)
Steel banding and plastic banding shall not be used as top rails or midrails.

1926.502(b)(9)
Top rails and midrails shall be at least one-quarter inch (0.6 cm) nominal diameter or thickness to prevent cuts and lacerations. If wire rope is used for top rails, it shall be flagged at not more than 6-foot intervals with high-visibility material.",snagging of clothing,What is a safety concern of guardrail systems?,What requirements must guardrail systems meet in order to prevent injury to an employee from punctures or lacerations?
